French,Portugues
comme,como
être,ser
avoir,ter
aller,ir
faire,fazer
dire,dizer
pouvoir,poder
vouloir,querer
savoir,saber
voir,ver
devoir,dever
venir,vir
suivre,seguir
parler,falar
prendre,tomar
croire,acreditar
aimer,gostar
passer,passar
penser,pensar
attendre,esperar
sortir,sair
vivre,viver
rendre,tornar
mettre,colocar
paraître,parecer
laisser,deixar
tenir,segurar
répondre,responder
entendre,ouvir
connaître,conhecer
devenir,tornar-se
sentir,sentir
comprendre,entender
porter,levar
chercher,procurar
revenir,voltar
appeler,chamar
tomber,cair
commencer,começar
marcher,andar
paraître,parecer
arriver,chegar
montrer,mostrar
partir,partir
donner,dar
trouver,encontrar
temps,tempo
monde,mundo
année,ano
homme,homem
jour,dia
chose,coisa
vie,vida
femme,mulher
enfant,criança
oeil,olho
main,mão
tête,cabeça
corps,corpo
bras,braço
coeur,coração
pays,país
ville,cidade
rue,rua
maison,casa
école,escola
travail,trabalho
famille,família
histoire,história
idée,ideia
raison,razão
ordre,ordem
effet,efeito
cause,causa
fait,fato
guerre,guerra
paix,paz
dieu,deus
mort,morte
eau,água
terre,terra
air,ar
feu,fogo
soleil,sol
lune,lua
ciel,céu
petit,pequeno
grand,grande
bon,bom
mauvais,mau
beau,bonito
vieux,velho
jeune,jovem
nouveau,novo
long,longo
court,curto
haut,alto
bas,baixo
chaud,quente
froid,frio
douce,doce
dur,duro
plein,cheio
vide,vazio
vrai,verdadeiro
faux,falso
noir,preto
blanc,branco
rouge,vermelho
bleu,azul
vert,verde
jaune,amarelo
monsieur,senhor
madame,senhora
fils,filho
fille,filha
frère,irmão
soeur,irmã
père,pai
mère,mãe
ami,amigo
ennemi,inimigo
travailler,trabalhar
manger,comer
boire,beber
dormir,dormir
acheter,comprar
vendre,vender
aider,ajudar
prier,rezar
jouer,jogar
chanter,cantar
danser,dançar
fumer,fumar
courir,correr
nager,nadar
voler,voar
marcher,caminhar
écrire,escrever
lire,ler
étudier,estudar
apprendre,aprender
enseigner,ensinar
attendre,esperar
perdre,perder
gagner,ganhar
voter,votar
choisir,escolher
finir,terminar
ouvrir,abrir
fermer,fechar
entrer,entrar
sortir,sair
monter,subir
descendre,descer
tourner,virar
arrêter,parar
continuer,continuar
utiliser,usar
oublier,esquecer
rappeler,lembrar
partager,compartilhar
vêtement,roupa
chaussure,sapato
chapeau,chapéu
pantalon,calça
chemise,camisa
robe,vestido
sac,bolsa
argent,dinheiro
billet,bilhete
clé,chave
montre,relógio
lunettes,óculos
portable,celular
ordinateur,computador
table,mesa
chaise,cadeira
lit,cama
cuisine,cozinha
salle,sala
bureau,escritório
papier,papel
stylo,caneta
livre,livro
journal,jornal
lettre,carta
image,imagem
photo,foto
musique,música
film,filme
sport,esporte
voiture,carro
vélo,bicicleta
avion,avião
bateau,barco
train,trem
bus,ônibus
rue,rua
route,estrada
pont,ponte
gare,estação
aéroport,aeroporto
hôtel,hotel
restaurant,restaurante
magasin,loja
marché,mercado
banque,banco
hôpital,hospital
église,igreja
forêt,floresta
montagne,montanha
mer,mar
fleuve,rio
pluie,chuva
neige,neve
vent,vento
animal,animal
chien,cachorro
chat,gato
cheval,cavalo
oiseau,pássaro
poisson,peixe
fleur,flor
arbre,árvore
vrai,verdadeiro
faux,falso
facile,fácil
difficile,difícil
rapide,rápido
lent,lento
fort,forte
faible,fraco
riche,rico
pauvre,pobre
propre,limpo
sale,sujo
neuf,novo
vide,vazio
plein,cheio
ouvert,aberto
fermé,fechar
possible,possível
impossible,impossível
heureux,feliz
triste,triste
content,contente
fâché,bravo
fatigué,cansado
malade,doente
sûr,seguro/certo
libre,livre
seul,sozinho
ensemble,juntos
souvent,frequentemente
toujours,sempre
jamais,jamais
parfois,às vezes
déjà,já
encore,ainda
maintenant,agora
demain,amanhã
hier,ontem
aujourd'hui,hoje
tôt,cedo
tard,tarde
mieux,melhor
moins,menos
plus,mais
assez,bastante
trop,demais
très,muito
beaucoup,muito
ici,aqui
là,lá
partout,em toda parte
quelque part,em algum lugar
ailleurs,em outro lugar
loin,longe
près,perto
gauche,esquerda
droite,direita
devant,frente
derrière,atrás
sous,sob/debaixo
sur,sobre/em cima
entre,entre
pendant,durante
depuis,desde
jusqu'à,até
vers,em direção a
pourquoi,por que
parce que,porque
comment,como
combien,quanto
qui,quem
quoi,o quê
quel,qual
si,se
donc,portanto
alors,então
aussi,também
mais,mas
ou,ou
et,e
avec,com
sans,sem
contre,contra
vrai,verdadeiro
santé,saúde
corps,corpo
sang,sangue
os,osso
peau,pele
visage,rosto
cheveux,cabelo
oreille,orelha
nez,nariz
bouche,boca
dent,dente
langue,língua
gorge,garganta
épaule,ombro
doigt,dedo
genou,joelho
dos,costas
pain,pão
eau,água
lait,leite
café,café
thé,chá
vin,vinho
bière,cerveja
jus,sumo
viande,carne
poisson,peixe
oeuf,ovo
fromage,queijo
fruit,fruta
pomme,maçã
banane,banana
légume,legume
pomme de terre,batata
riz,arroz
pâtes,massa
sucre,açúcar
sel,sal
poivre,pimenta
petit-déjeuner,pequeno-almoço
déjeuner,almoço
dîner,jantar
cuisine,cozinha
assiette,prato
verre,copo
fourchette,garfo
couteau,faca
cuillère,colher
serviette,guardanapo
famille,família
parents,pais
père,pai
mère,mãe
grand-père,avô
grand-mère,avó
oncle,tio
tante,tia
cousin,primo
neveu,sobrinho
mari,marido
femme,esposa
ami,amigo
voisin,vizinho
métier,profissão
médecin,médico
infirmier,enfermeiro
professeur,professor
étudiant,estudante
avocat,advogado
ingénieur,engenheiro
policier,polícia
écrivain,escritor
artiste,artista
acteur,ator
chanteur,cantor
vendeur,vendedor
serveur,empregado de mesa
travailleur,trabalhador
chômage,desemprego
argent,dinheiro
prix,preço
achat,compra
vente,venda
nature,natureza
campagne,campo
montagne,montanha
forêt,floresta
mer,mar
fleuve,rio
lac,lago
plage,praia
île,ilha
soleil,sol
lune,lua
étoile,estrela
ciel,céu
nuage,nuvem
pluie,chuva
neige,neve
vent,vento
orage,tempestade
chaleur,calor
froid,frio
saison,estação
printemps,primavera
été,verão
automne,outono
hiver,inverno
amour,amor
haine,ódio
peur,medo
colère,raiva
joie,alegria
surprise,surpresa
honte,vergonha
confiance,confiança
espoir,esperança
rêve,sonho
avis,opinião
pensée,pensamento
connaissance,conhecimento
mémoire,memória
cadeau,presente
fête,festa
voyage,viagem
vacances,férias
billet,passagem
passeport,passaporte
valise,mala
douane,alfândega
vol,voo
départ,partida
arrivée,chegada
retard,atraso
direction,direção
carte,mapa
monument,monumento
musée,museu
place,praça
pont,ponte
quartier,bairro
bâtiment,prédio
étage,andar
ascenseur,elevador
escalier,escada
fenêtre,janela
toit,telhado
mur,parede
sol,chão
jardin,jardim
piscine,piscina
forêt,floresta
bois,madeira
fer,ferro
or,ouro
argent,prata
pierre,pedra
sable,areia
ciel,céu
nuage,nuvem
vent,vento
tempête,tempestade
bruit,barulho
silence,silêncio
couleur,cor
blanc,branco
noir,preto
gris,cinzento
rouge,vermelho
bleu,azul
vert,verde
jaune,amarelo
orange,laranja
rose,rosa
violet,roxo
marron,castanho
clair,claro
foncé,escuro
lourd,pesado
léger,leve
large,largo
étroit,estreito
profond,profundo
écran,tela
clavier,teclado
souris,mouse
imprimante,impressora
réseau,rede
lien,link
site web,site
courriel,e-mail
mot de passe,senha
données,dados
logiciel,software
matériel,hardware
société,sociedade
gouvernement,governo
état,estado
peuple,povo
citoyen,cidadão
liberté,liberdade
égalité,igualdade
justice,justiça
loi,lei
droit,direito
paix,paz
sécurité,segurança
danger,perigo
crime,crime
prison,prisão
guerre,guerra
armée,exército
soldat,soldado
victoire,vitória
échec,fracasso
succès,sucesso
effort,esforço
but,objetivo
avis,opinião
conseil,conselho
décision,decisão
choix,escolha
partage,partilha
recherche,pesquisa
science,ciência
technologie,tecnologia
méthode,método
système,sistema
outil,ferramenta
machine,máquina
énergie,energia
pétrole,petróleo
gaz,gás
électricité,eletricidade
climat,clima
environnement,meio ambiente
pollution,poluição
déchet,lixo
recyclage,reciclagem
santé,saúde
médicament,remédio
douleur,dor
blessure,ferimento
sang,sangue
coeur,coração
poumon,pulmão
estomac,estômago
cerveau,cérebro
nerf,nervo
muscle,músculo
peau,pele
os,osso
sommeil,sono
rêve,sonho
réalité,realidade
vérité,verdade
mensonge,mentira
secret,segredo
confiance,confiança
doute,dúvida
peur,medo
courage,coragem
espoir,esperança
désespoir,desespero
amour,amor
haine,ódio
colère,raiva
patience,paciência
ennui,tédio
surprise,surpresa
honte,vergonha
fierté,orgulho
ombre,sombra
lumière,luz
outil,ferramenta
objet,objeto
truc,coisa/treco
matière,matéria
pièce,peça/quarto
salle de bain,casa de banho
toilettes,casa de banho
douche,duche
savon,sabão
serviette,toalha
miroir,espelho
brosse,escova
lit,cama
couverture,cobertor
oreiller,almofada
armoire,armário
étagère,prateleira
rideau,cortina
tapis,tapete
lampe,lâmpada
canapé,sofá
fauteuil,poltrona
poubelle,lixo
balai,vassoura
aspirateur,aspirador
lessive,detergente
repassage,passagem a ferro
vaisselle,loiça
four,forno
frigo,frigorífico
poêle,frigideira
marmite,panela
bol,tigela
tasse,chávena
paille,palhinha
bouteille,garrafa
bouchon,rolha
boîte,caixa
sac,saco
valise,mala de viagem
portefeuille,carteira
parapluie,guarda-chuva
montre,relógio de pulso
bijou,joia
bague,anel
collier,colar
boucles d'oreilles,brincos
maquillage,maquilhagem
parfum,perfume
rasoir,lâmina de barbear
lunettes de soleil,óculos de sol
ceinture,cinto
gants,luvas
écharpe,cachecol
bonnet,gorro
manteau,casaco
veste,blazer
pull,camisola
pantalon,calças
jupe,saia
chemise,camisa
t-shirt,t-shirt
sous-vêtements,roupa interior
chaussettes,meias
chaussures,sapatos
bottes,botas
sandales,sandálias
maillot de bain,fato de banho
vêtement,roupa
tissu,tecido
coton,algodão
laine,lã
soie,seda
cuir,couro
fermeture,fecho
bouton,botão
poche,bolso
couleur,cor
teinte,tom
foncé,escuro
clair,claro
vif,vivo
pâle,pálido
doré,dourado
argenté,prateado
brillant,brilhante
mat,fosco
dur,duro
mou,mole
lisse,liso
rugueux,rugoso
sec,seco
humide,húmido
mouillé,molhado
chaud,quente
froid,frio
tiède,morno
brûlant,a ferver
glacé,gelado
lourd,pesado
léger,leve
épais,grosso
mince,magro/fino
étroit,estreito
large,largo
profond,profundo
plat,plano
rond,redondo
carré,quadrado
pointu,pontiagudo
droit,reto
tordu,torto
propre,limpo
sale,sujo
neuf,novo
vieux,velho
usé,gasto
cher,caro
bon marché,barato
gratuit,grátis
précieux,precioso
inutile,inútil
utile,útil
facile,fácil
difficile,difícil
simple,simples
complexe,complexo
possible,possível
impossible,impossível
probable,provável
certain,certo
sûr,seguro
dangereux,perigoso
calme,calmo
bruyant,barulhento
rapide,rápido
lent,lento
tôt,cedo
tard,tarde
souvent,frequentemente
rarement,raramente
toujours,sempre
jamais,jamais
maintenant,agora
ensuite,em seguida
puis,depois
alors,então
déjà,já
encore,ainda
presque,quase
surtout,sobretudo
environ,aproximadamente
partout,em todo o lado
nulle part,em lado nenhum
ailleurs,em outro lugar
dedans,dentro
dehors,fora
dessus,em cima
dessous,em baixo
devant,na frente
derrière,atrás
loin,longe
près,perto
lundi,segunda-feira
mardi,terça-feira
mercredi,quarta-feira
jeudi,quinta-feira
vendredi,sexta-feira
samedi,sábado
dimanche,domingo
janvier,janeiro
février,fevereiro
mars,março
avril,abril
mai,maio
juin,junho
juillet,julho
août,agosto
septembre,setembro
octobre,outubro
novembre,novembro
décembre,dezembro
printemps,primavera
été,verão
automne,outono
hiver,inverno
zéro,zero
un,um
deux,dois
trois,três
quatre,quatro
cinq,cinco
six,seis
sept,sete
huit,oito
neuf,nove
dix,dez
onze,onze
douze,doze
treize,treze
quatorze,catorze
quinze,quinze
seize,dezasseis
vingt,vinte
trente,trinta
quarante,quarenta
cinquante,cinquenta
soixante,sessenta
cent,cem
mille,mil
million,milhão
premier,primeiro
deuxième,segundo
dernier,último
début,início
fin,fim
milieu,meio
moitié,metade
quart,quarto
partie,parte
total,total
santé,saúde
maladie,doença
douleur,dor
fièvre,febre
toux,tosse
rhume,constipação/resfriado
médicament,medicamento
pilule,comprimido
ordonnance,receita médica
hôpital,hospital
clinique,clínica
dentiste,dentista
pharmacie,farmácia
urgence,emergência
blessure,ferimento
sang,sangue
coeur,coração
poumon,pulmão
estomac,estômago
entreprise,empresa
bureau,escritório
réunion,reunião
collègue,colega
patron,chefe
client,cliente
contrat,contrato
salaire,salário
impôt,imposto
banque,banco
compte,conta
carte de crédit,cartão de crédito
signature,assinatura
publicité,publicidade
vente,venda
achat,compra
marché,mercado
économie,economia
succès,sucesso
échec,fracasso
projet,projeto
plan,plano
but,objetivo
réussite,êxito
erreur,erro
faute,falha
vérité,verdade
mensonge,mentira
secret,segredo
nouvelle,notícia
message,mensagem
appel,chamada
réponse,resposta
question,pergunta
avis,opinião
idée,ideia
choix,escolha
décision,decisão
chance,sorte
risque,risco
paix,paz
guerre,guerra
liberté,liberdade
espoir,esperança
peur,medo
courage,coragem
confiance,confiança
colère,raiva
joie,alegria
tristesse,tristeza
surprise,surpresa
honte,vergonha
ennui,tédio
brouillard,nevoeiro
orage,tempestade
éclair,relâmpago
tonnerre,trovão
vague,onda
sable,areia
poussière,poeira
miroir,espelho
cadre,quadro/moldura
outil,ferramenta
clou,prego
vis,parafuso
marteau,martelo
scie,serra
échelle,escada
corde,corda
partage,partilha
cadeau,presente
invitation,convite
rencontre,encontro
promesse,promessa
conseil,conselho
ordre,ordem
