Spain,Portugues
ser,ser
estar,estar
tener,ter
hacer,fazer
ir,ir
poder,poder
decir,dizer
querer,querer
saber,saber
dar,dar
ver,ver
venir,vir
haber,haver
deber,dever
poner,colocar
parecer,parecer
quedar,ficar
creer,acreditar
hablar,falar
llevar,levar
dejar,deixar
seguir,seguir
encontrar,encontrar
llamar,chamar
pensar,pensar
salir,sair
volver,voltar
tomar,tomar
conocer,conhecer
vivir,viver
sentir,sentir
mirar,olhar
esperar,esperar
buscar,procurar
entrar,entrar
trabajar,trabalhar
escribir,escrever
leer,ler
comer,comer
beber,beber
dormir,dormir
comprar,comprar
ayudar,ajudar
jugar,jogar
caminar,caminhar
correr,correr
aprender,aprender
entender,entender
porque,porque
cuando,quando
donde,onde
quien,quem
como,como
cuanto,quanto
pero,mas
aunque,embora
siempre,sempre
nunca,nunca
quizás,talvez
ahora,agora
después,depois
antes,antes
aquí,aqui
allí,ali
cerca,perto
lejos,longe
arriba,em cima
abajo,em baixo
hombre,homem
mujer,mulher
niño,criança
padre,pai
madre,mãe
hermano,irmão
hermana,irmã
abuelo,avô
abuela,avó
amigo,amigo
familia,família
gente,gente
persona,pessoa
tiempo,tempo
año,ano
mes,mês
semana,semana
día,dia
hora,hora
mañana,manhã
tarde,tarde
noche,noite
hoy,hoje
ayer,ontem
mañana,amanhã
cosa,coisa
casa,casa
puerta,porta
ventana,janela
mesa,mesa
silla,cadeira
cama,cama
cocina,cozinha
baño,banheiro
llave,chave
teléfono,telefone
computadora,computador
libro,livro
papel,papel
bolígrafo,caneta
ropa,roupa
zapatos,sapatos
dinero,dinheiro
bolsa,bolsa
carro,carro
bicicleta,bicicleta
comida,comida
agua,água
pan,pão
leche,leite
café,café
fruta,fruta
cuerpo,corpo
cabeza,cabeça
mano,mão
pie,pé
brazo,braço
pierna,perna
ojo,olho
boca,boca
corazón,coração
sangre,sangue
grande,grande
pequeño,pequeno
bueno,bom
malo,mau
bello,belo
hermoso,lindo
feo,feio
fácil,fácil
difícil,difícil
nuevo,novo
viejo,velho
joven,jovem
rico,rico
pobre,pobre
feliz,feliz
triste,triste
alegre,alegre
enfadado,zangado
cansado,cansado
enfermo,doente
fuerte,forte
débil,fraco
limpio,limpo
sucio,sujo
rápido,rápido
lento,lento
claro,claro
oscuro,escuro
duro,duro
blando,mole
pesado,pesado
ligero,leve
ancho,largo
estrecho,estreito
alto,alto
bajo,baixo
largo,comprido
corto,curto
lleno,cheio
vacío,vazio
abierto,aberto
cerrado,fechado
caliente,quente
frío,frio
derecha,direita
izquierda,esquerda
ciudad,cidade
pueblo,vila
calle,rua
plaza,praça
parque,parque
edificio,edifício
puente,ponte
escuela,escola
universidad,universidade
hospital,hospital
iglesia,igreja
mercado,mercado
tienda,loja
banco,banco
restaurante,restaurante
hotel,hotel
cine,cinema
teatro,teatro
museo,museu
biblioteca,biblioteca
aeropuerto,aeroporto
estación,estação
puerto,porto
playa,praia
mar,mar
río,rio
lago,lago
montaña,montanha
bosque,floresta
campo,campo
cielo,céu
sol,sol
luna,lua
estrella,estrela
nube,nuvem
lluvia,chuva
nieve,neve
viento,vento
fuego,fogo
tierra,terra
aire,ar
luz,luz
sombra,sombra
animal,animal
perro,cão
gato,gato
caballo,cavalo
vaca,vaca
pájaro,pássaro
pez,peixe
árbol,árvore
flor,flor
planta,planta
hierba,erva
fruta,fruta
verdura,verdura
carne,carne
arroz,arroz
pan,pão
huevo,ovo
queso,queijo
azúcar,açúcar
sal,sal
aceite,azeite
vino,vinho
cerveza,cerveja
desayuno,pequeno-almoço
almuerzo,almoço
cena,jantar
trabajo,trabalho
oficina,escritório
jefe,chefe
empleado,empregado
negocio,negócio
dinero,dinheiro
precio,preço
coste,custo
pago,pagamento
compra,compra
venta,venda
cuenta,conta
tarjeta,cartão
bolsa,bolsa
viaje,viagem
maleta,mala
pasaporte,passaporte
boleto,bilhete
vacaciones,férias
mundo,mundo
país,país
nación,nação
gobierno,governo
ley,lei
justicia,justiça
paz,paz
guerra,guerra
ejército,exército
soldado,soldado
policía,polícia
peligro,perigo
seguridad,segurança
ayuda,ajuda
regalo,presente
fiesta,festa
música,música
canción,canção
baile,dança
deporte,desporto
fútbol,futebol
pelota,bola
juego,jogo
juguete,brinquedo
médico,médico
enfermero,enfermeiro
dentista,dentista
profesor,professor
estudiante,estudante
abogado,advogado
ingeniero,engenheiro
arquitecto,arquiteto
policía,polícia
bombero,bombeiro
cartero,carteiro
conductor,motorista
piloto,piloto
cocinero,cozinheiro
camarero,garçom
artista,artista
actor,ator
actriz,atriz
cantante,cantor
escritor,escritor
periodista,jornalista
carpintero,carpinteiro
pintor,pintor
jardinero,jardineiro
veterinario,veterinário
amor,amor
odio,ódio
miedo,medo
rabia,raiva
tristeza,tristeza
alegría,alegria
sorpresa,surpresa
vergüenza,vergonha
culpa,culpa
orgullo,orgulho
confianza,confiança
esperanza,esperança
paciencia,paciência
aburrimiento,tédio
sueño,sonho
color,cor
blanco,branco
negro,preto
gris,cinza
rojo,vermelho
azul,azul
verde,verde
amarillo,amarelo
naranja,laranja
rosa,rosa
morado,roxo
marrón,marrom
dorado,dourado
plateado,prata
computadora,computador
pantalla,tela
