Unnamed: 0,English,Portugues
0,the,o
1,I,EU
2,to,para
3,and,e
4,a,um
5,of,de
6,was,era
7,he,ele
9,it,isto
10,in,em
11,her,dela
12,she,ela
13,that,que
14,my,meu
15,his,dele
16,me,meu
17,on,sobre
18,with,com
19,at,no
20,as,como
21,had,tive
22,for,para
23,but,mas
24,him,ele
26,be,ser
27,up,acima
28,out,fora
29,look,olhar
30,so,então
31,have,ter
32,what,o que
33,not,não
34,just,apenas
35,like,como
36,go,ir
37,they,eles
38,is,é
39,this,esse
40,from,de
41,all,todos
42,we,nós
43,were,eram
44,back,voltar
45,do,fazer
46,one,um
47,about,sobre
48,know,saber
49,if,se
50,when,quando
51,get,pegar
52,then,então
53,into,em
54,would,seria
55,no,não
56,there,lá
57,I'm,Eu sou
58,could,poderia
59,don't,não
60,ask,perguntar
61,down,abaixo
62,time,tempo
63,didn't,não
64,want,querer
65,eye,olho
66,them,eles
67,over,sobre
68,your,seu
69,are,são
70,or,ou
71,been,estive
72,now,agora
73,an,um
74,by,por
75,think,pensar
76,see,ver
77,hand,mão
78,it's,isso é
79,say,dizer
80,how,como
81,around,em volta
82,head,cabeça
83,did,fez
84,well,bem
85,before,antes
86,off,desligado
87,who,Quem
88,more,mais
89,even,até
90,turn,vez
91,come,vir
92,smile,sorriso
93,way,caminho
94,really,realmente
95,can,pode
96,face,face
97,other,outro
98,some,alguns
99,right,certo
100,their,deles
101,only,apenas
102,walk,andar
103,make,fazer
104,got,pegou
105,try,tentar
106,something,algo
107,room,sala
108,again,de novo
109,thing,coisa
110,after,depois
111,still,ainda
112,thought,pensamento
113,door,porta
114,here,aqui
115,too,também
116,little,pequeno
117,because,porque
118,why,por que
119,away,ausente
120,let,deixar
121,take,pegar
122,two,dois
123,start,começar
124,good,bom
125,where,onde
126,never,nunca
127,through,através
128,day,dia
129,much,muito
130,tell,dizer
131,wasn't,não era
132,girl,garota
133,feel,sentir
134,oh,oh
135,you're,você é
136,call,chamar
137,talk,falar
138,will,vai
139,long,longo
140,than,que
141,us,nós
142,made,feito
143,friend,amigo
144,knew,sabia
145,open,abrir
146,need,precisar
147,first,primeiro
148,which,qual
149,people,pessoas
150,that's,isso é
151,went,foi
152,sure,claro
153,seem,parecer
154,stop,parar
155,voice,voz
156,very,muito
157,felt,sentido
158,took,pegou
159,our,nosso
160,pull,puxar
161,laugh,rir
162,man,homem
163,okay,OK
164,close,fechar
165,any,qualquer
166,came,veio
167,told,contado
168,love,amor
169,watch,assistir
170,arm,braço
171,anything,qualquer coisa
172,I'll,Doente
173,though,no entanto
174,put,colocar
175,left,esquerda
176,work,trabalhar
177,guy,cara
178,hair,cabelo
179,couldn't,não poderia
180,yeah,sim
181,while,enquanto
182,mean,significar
183,home,lar
184,few,alguns
185,saw,serra
186,place,lugar
187,school,escola
188,help,ajuda
189,wait,espere
190,late,tarde
191,year,ano
192,can't,não pode
193,house,casa
194,happen,acontecer
195,last,durar
196,always,sempre
197,move,mover
198,old,velho
199,night,noite
200,nod,acenar
201,life,vida
202,give,dar
203,sit,sentar
204,stare,olhar fixo
205,sat,sentado
206,should,deve
207,moment,momento
208,another,outro
209,behind,atrás
210,side,lado
211,sound,som
212,once,uma vez
213,find,encontrar
214,toward,na direção
215,boy,garoto
216,ever,sempre
217,nothing,nada
218,front,frente
219,mother,mãe
220,name,nome
221,am,sou
222,since,desde
223,reply,responder
224,he's,ele é
225,myself,eu mesmo
226,leave,deixar
227,bed,cama
228,new,novo
229,car,carro
230,use,usar
231,mind,mente
232,maybe,talvez
233,has,tem
234,heard,ouviu
235,answer,responder
236,minute,minuto
237,yes,sim
238,until,até
239,both,ambos
240,found,encontrado
241,end,fim
242,small,pequeno
243,I'd,Eu ia
244,word,palavra
245,someone,alguém
246,same,mesmo
247,enough,suficiente
248,began,começou
249,run,correr
250,bit,pedaço
251,sigh,suspirar
252,each,cada
253,those,aqueles
254,almost,quase
255,against,contra
256,everything,tudo
257,most,maioria
258,thank,agradecer
259,wouldn't,não faria
260,mom,mãe
261,better,melhorar
262,play,jogar
263,I've,Eu tenho
264,own,ter
265,every,todo
266,hard,duro
267,remember,lembrar
268,three,três
269,stood,permaneceu
270,live,ao vivo
271,stand,ficar
272,second,segundo
273,sorry,desculpe
274,keep,manter
275,finally,finalmente
276,point,apontar
277,gave,deu
278,already,já
279,actually,na verdade
280,probably,provavelmente
281,himself,ele mesmo
282,big,grande
283,everyone,todos
284,guess,adivinhar
285,lot,muito
286,step,etapa
287,hey,ei
288,hear,ouvir
289,light,luz
290,quickly,rapidamente
291,dad,pai
292,kiss,beijo
293,black,preto
294,pick,escolha
295,else,outro
296,soon,breve
297,shoulder,ombro
298,table,mesa
299,best,melhor
300,without,sem
301,notice,perceber
302,stay,ficar
303,care,cuidados
304,phone,telefone
305,reach,alcançar
306,realize,entender
307,follow,seguir
308,decide,decidir
309,kind,tipo
310,she's,ela é
311,grab,pegar
312,he'd,ele tinha
313,show,mostrar
314,inside,dentro
315,suddenly,de repente
316,father,pai
317,rest,descansar
318,herself,ela mesma
319,grin,sorriso
320,hour,hora
321,hope,ter esperança
322,also,também
323,body,corpo
324,might,poder
325,hadn't,não tinha
326,floor,chão
327,its,isso é
328,continue,continuar
329,ran,corrido
330,across,entre
331,hold,segurar
332,cry,chorar
333,half,metade
334,pretty,bonito
335,great,ótimo
336,course,curso
337,mouth,boca
338,class,aula
339,kid,criança
340,miss,perder
341,wonder,maravilha
342,morning,manhã
343,least,ao menos
344,nice,legal
345,dark,escuro
346,slowly,devagar
347,done,feito
348,change,mudar
349,doesn't,não
350,together,junto
351,yet,ainda
352,question,pergunta
353,anyway,de qualquer forma
354,bad,ruim
355,blue,azul
356,believe,acreditar
357,week,semana
359,lip,lábio
360,Mr.,Senhor.
361,sleep,dormir
362,fine,multar
363,what's,o que é
364,many,muitos
365,worry,preocupar
366,roll,rolar
367,parents,pais
368,under,sob
369,surprise,surpresa
370,water,água
371,onto,para
372,we're,eram
373,glance,olhar
374,wall,parede
375,between,entre
376,seen,visto
377,read,ler
378,window,janela
379,idea,ideia
380,white,branco
381,push,empurrar
382,feet,pés
383,must,deve
384,such,tal
385,seat,assento
386,set,definir
387,please,por favor
388,red,vermelho
389,brother,irmão
390,these,esses
391,whole,todo
392,lean,magro
393,part,papel
394,person,pessoa
395,slightly,um pouco
396,pass,passar
397,shook,sacudiu
398,fact,fato
399,wrong,errado
400,gone,perdido
401,far,distante
402,hit,bater
403,finger,dedo
404,quite,bastante
405,hate,odiar
406,meet,encontrar
407,finish,terminar
408,heart,coração
409,book,livro
410,past,passado
411,kill,matar
412,reason,razão
413,anyone,qualquer um
414,figure,figura
415,top,principal
416,along,junto
417,world,mundo
418,she'd,cabana
419,high,alto
420,shirt,camisa
421,does,faz
422,today,hoje
423,young,jovem
424,held,mantido
425,outside,fora
426,listen,ouvir
427,whisper,sussurrar
428,won't,não vai
429,happy,feliz
430,ground,chão
431,deep,profundo
432,drop,derrubar
433,shrug,encolher de ombros
434,dress,vestir
435,fell,caiu
436,there's,há
437,yell,gritar
438,breath,respiração
439,air,ar
440,tear,rasgar
441,sister,irmã
442,chair,cadeira
443,kitchen,cozinha
444,matter,matéria
445,hurt,ferir
446,fall,cair
447,wear,vestir
448,isn't,não é
449,woman,mulher
450,eat,comer
451,lie,mentira
452,hell,inferno
453,suppose,suponha
454,cover,cobrir
455,couple,casal
456,large,grande
457,either,qualquer
458,five,cinco
459,leg,perna
460,jump,pular
461,die,morrer
462,return,retornar
463,able,capaz
464,bag,bolsa
465,alone,sozinho
